,Method,NT,F,Accuracy
0,DecisionForestClassifier,1,2,0.9629629629629629
0,DecisionForestClassifier,1,5,0.9629629629629629
0,DecisionForestClassifier,1,7,0.9629629629629629
0,DecisionForestClassifier,1,runif,0.9629629629629629
0,DecisionForestClassifier,10,2,0.9444444444444444
0,DecisionForestClassifier,10,5,0.9629629629629629
0,DecisionForestClassifier,10,7,0.9629629629629629
0,DecisionForestClassifier,10,runif,0.9814814814814815
0,DecisionForestClassifier,25,2,0.9074074074074074
0,DecisionForestClassifier,25,5,0.9444444444444444
0,DecisionForestClassifier,25,7,0.9629629629629629
0,DecisionForestClassifier,25,runif,0.9629629629629629
0,DecisionForestClassifier,50,2,0.9259259259259259
0,DecisionForestClassifier,50,5,0.9629629629629629
0,DecisionForestClassifier,50,7,0.9629629629629629
0,DecisionForestClassifier,50,runif,0.9629629629629629
0,DecisionForestClassifier,75,2,0.9074074074074074
0,DecisionForestClassifier,75,5,0.9629629629629629
0,DecisionForestClassifier,75,7,0.9629629629629629
0,DecisionForestClassifier,75,runif,0.9629629629629629
0,DecisionForestClassifier,100,2,0.8888888888888888
0,DecisionForestClassifier,100,5,0.9629629629629629
0,DecisionForestClassifier,100,7,0.9629629629629629
0,DecisionForestClassifier,100,runif,0.9629629629629629
